Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
db6416a49caa394601700fbf5397d48afdbeb3c20097e074c9482b6bdcdbc052,2020-12,West Yorkshire Police,West Yorkshire Police,-1.860949,53.773467,On or near BUSHILL FOLD,E01010754,Bradford 058C,Unable to prosecute suspect
645abc3e99542d609af3c2e494a09da106cb6056d82a854ed6e32e511277b205,2020-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete
c4cf8c4f736d524ded10e6e3f326b37b3ee18ba2e7ec6972909bf816deaef01c,2020-12,West Yorkshire Police,West Yorkshire Police,-1.308529,53.692971,On or near TRINITY STREET,E01011838,Wakefield 015C,Unable to prosecute suspect
185ee6f2f0e03c09425c5f516e3b680cc3b5d002a109a98987ad8ed0affbd563,2020-12,West Yorkshire Police,West Yorkshire Police,-1.457559,53.816992,On or near YORK ROAD,E01011665,Leeds 050C,Investigation complete
965886a9b6ada2ac3faafad6cc65330aa6230c507d2424f7ee7dff8a525a5b51,2020-12,West Yorkshire Police,West Yorkshire Police,-1.752677,53.912489,On or near MANSE ROAD,E01010767,Bradford 003A,Unable to prosecute suspect
d2a2601cb61a30c9fa9bfbb1dacf22eba5995d4a8e464dc95033baefbb1482bc,2020-12,West Yorkshire Police,West Yorkshire Police,-1.596925,53.797049,On or near TOWN STREET,E01032607,Leeds 067J,Unable to prosecute suspect
03fda8605d1c8fa639cb9cdfc64d73dd25e5c70b40186df3d7e63269c01f7630,2020-12,West Yorkshire Police,West Yorkshire Police,-1.715195,53.728818,On or near BROOKLYN COURT,E01011061,Kirklees 005B,Unable to prosecute suspect
d03a0a3ee0706c1d0f52b34699e4395c638469d11103ac2a31212f98487fdbb0,2020-12,West Yorkshire Police,West Yorkshire Police,-1.936598,53.916591,On or near WEAVERS WALK,E01010639,Bradford 004B,Investigation complete
fff414427c4583c1ad2967be5db4ba457dde0d09ad646ce774eed9c2d92e936e,2020-12,West Yorkshire Police,West Yorkshire Police,-1.539621,53.822854,On or near NEWTON LODGE CLOSE,E01011358,Leeds 042B,Investigation complete
1203cd8cc9d3b753e1d1a6d731e8e5c4210d279cc23741dc61e283aac99038a3,2020-12,West Yorkshire Police,West Yorkshire Police,-1.638814,53.807338,On or near FAIRFIELD CLOSE,E01011337,Leeds 058D,Unable to prosecute suspect
fbdce069d700883ce5122248692b10e7bfe0df0d006f0480155561a5e903eb65,2020-12,West Yorkshire Police,West Yorkshire Police,-1.622581,53.792090,On or near TONG APPROACH,E01011727,Leeds 080B,Investigation complete
